000000,UNRESTRICTED
010000,Federal Basic Adult Education
090000,PRINC 2019 WCB
100000,DRIVERS EDUCATION
120000,SPED-ELEMENTARY
060000,MISC GRANTS
110000,EARLY CHILDHOOD
160000,CCH
170000,PFAE GRANT
190000,Test Proctoring
250000,BLANK
260000,ESSER III GRANT
270000,DIGITAL EQUITY GRANT
280000,ESSER I/CARES
290000,ESSER II GRANT
300000,TITLE I
310000,CASE
320000,EMPOWER GRANT
330000,TITLE I NEGLECTED
340000,BLANK
360000,ASCCP
390000,LOWEST PERFORMING SCHOOLS
420000,PREVENTION INITIATIVE
440000,ROE-YDC
460000,IDEA PRESCHOOL
490000,IDEA FLOWTHROUGH
610000,CTEI
640000,AG
680000,CCLC -2010
690000,CCLC 2012
700000,DONATIONS
780000,CCLC-2013
880000,TITLE III
920000,TITLE II
020000,SELF-INSURED WC
030000,State Basic Adult Ed
210000,Carle CNA Partnership
550000,THOMAS PAINE BUILDING BUDGET
570000,YANKEE RIDGE BUILDING BUDGET
